Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2020-06-24,776.69482421875,796.8556158794696,769.4351890087056,780.3134354719743,51586221
2020-06-25,772.2221069335938,786.2020448440715,770.0419514480267,776.3126926255497,39679374
2020-06-26,782.8981323242188,787.5506408989148,771.8175772674693,777.1218971867132,30921913
2020-06-29,774.5820922851562,782.0440358258111,771.1657900960829,776.7847199037966,25621946
2020-06-30,766.0188598632812,782.6059245493964,762.1754677566296,780.807914512527,30276420
2020-07-01,781.0775146484375,786.201997392839,767.7943331649622,773.1660690211988,28464103
2020-07-02,794.524169921875,797.7964291606368,783.1051378323464,786.6933471641555,28789533
2020-07-03,806.9586181640625,809.2605230295892,797.9768734526536,803.302718327586,29434266
2020-07-06,835.7996826171875,838.59798707909,808.8543846026165,814.6767489280919,47016185
2020-07-07,823.0039672851562,841.463976689244,815.2634586435034,839.5006450288294,35189589
2020-07-08,811.5173950195312,828.1945237391301,807.9066216942804,823.2748823910197,26204095
2020-07-09,823.3650512695312,828.2170013060332,806.2139692943585,816.4820787561033,36418942
2020-07-10,847.6473999023438,850.6037089763864,823.3650271392274,825.2832912510764,43759967
2020-07-13,873.3515014648438,879.0835514065949,857.5544142629645,859.066414273634,69608392
2020-07-14,865.2272338867188,876.3754426124376,851.8223070969156,872.9001111198423,67331128
2020-07-15,832.2791137695312,893.1203699369507,811.5173183412455,874.6829238098223,139669773
2020-07-16,832.0083618164062,843.5627758296462,818.0392246836387,833.6331798351821,60961724
2020-07-17,862.835205078125,866.5813597597964,829.5710849624811,832.7305263268679,49726765
2020-07-20,866.5361328125,871.9974193757844,857.3964422325445,865.5883422314392,36592938
2020-07-21,889.8480224609375,892.3078725048149,874.028433084142,875.1567920683302,42173371
2020-07-22,904.4942626953125,907.202312550526,884.9510213382299,895.0159986639695,59771457
2020-07-23,928.7765502929688,938.6609588483409,898.7846915588252,904.4716140026857,58333751
2020-07-24,968.6528930664062,976.2580205169854,928.7766226694645,928.866877074322,120597372
2020-07-27,973.1887817382812,992.4160717579479,960.4157553838029,983.389199696608,80304827
2020-07-28,982.8927612304688,990.2496888244225,970.6838835389933,973.1888610354255,55114422
2020-07-29,946.3112182617188,985.1945058663708,934.4859826797366,982.9829747863479,72663399
2020-07-30,951.8176879882812,965.7416374844678,935.1856290159112,947.3719425825504,72857444
2020-07-31,932.9739990234375,960.9122109353187,926.5197950725442,954.3677525902174,74958061
2020-08-03,906.7509765625,928.4154946857375,904.0879942280135,925.8428264432459,46715383
2020-08-04,970.6612548828125,978.063309181602,902.801648867005,911.9865259436237,92041055
2020-08-05,959.7613525390625,991.152334357933,956.082888808404,978.9660801786949,74549993
2020-08-06,963.2141723632812,978.379359794549,951.3438079467057,973.549973124917,49322975
2020-08-07,968.7882080078125,973.9109808198931,956.9404677314833,961.2733354792168,32984416
2020-08-10,956.782470703125,977.1606844285126,951.4791890501768,974.497761802115,26958997
2020-08-11,963.0787353515625,974.9039718853056,947.9812395926484,963.5300670431569,46828306
